id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,home_team,away_team,_home_score,_away_score,_date,match_margin,match_result,home_win,_match_key,home_win_rate_l3,home_win_rate_l5,home_score_for_avg_l3,home_score_for_avg_l5,home_score_against_avg_l3,home_score_against_avg_l5,home_win_streak,home_days_rest,away_win_rate_l3,away_win_rate_l5,away_score_for_avg_l3,away_score_for_avg_l5,away_score_against_avg_l3,away_score_against_avg_l5,away_win_streak,away_days_rest,h2h_home_win_rate,h2h_away_win_rate,h2h_draw_rate,h2h_meetings,form_diff_l3,score_form_diff_l3,form_diff_l5,score_form_diff_l5,feature_version
15422,W. Bulldogs,3,1983-04-09,1983,H,Melbourne Demons,8.5 9.7 10.11 16.15,111,2.3 4.7 8.9 11.13,79,W,32,Western Oval,20485.0,16,15,11,13,W. Bulldogs,Melbourne Demons,111,79,1983-04-09,32,HOME_WIN,1,12603,1.0,1.0,99.0,99.0,82.0,82.0,1,7.0,0.5,0.5,122.0,122.0,117.5,117.5,1,7.0,,,,0,0.5,-23.0,0.5,-23.0,week3_day1_v1
10724,Carlton Blues,3,1983-04-09,1983,H,Collingwood Magpies,3.10 4.12 9.16 13.19,97,1.4 6.7 9.15 11.21,87,W,10,Waverley Park,69596.0,13,19,11,21,Carlton Blues,Collingwood Magpies,97,87,1983-04-09,10,HOME_WIN,1,8193,0.5,0.5,109.0,109.0,87.5,87.5,0,7.0,0.5,0.5,115.5,115.5,113.0,113.0,0,7.0,,,,0,0.0,-6.5,0.0,-6.5,week3_day1_v1
11907,Fitzroy Lions,3,1983-04-09,1983,H,Essendon Bombers,1.3 6.9 8.11 14.13,97,2.7 5.7 6.12 7.14,56,W,41,Junction Oval,21478.0,14,13,7,14,Fitzroy Lions,Essendon Bombers,97,56,1983-04-09,41,HOME_WIN,1,9863,0.0,0.0,112.0,112.0,131.0,131.0,0,14.0,0.5,0.5,120.5,120.5,90.5,90.5,1,5.0,,,,0,-0.5,-8.5,-0.5,-8.5,week3_day1_v1
14729,Sydney Swans,3,1983-04-10,1983,H,north melbourne kangaroos,2.4 4.8 5.10 5.15,45,5.7 12.12 20.18 27.23,185,L,-140,Sydney Cricket Ground,11831.0,5,15,27,23,Sydney Swans,north melbourne kangaroos,45,185,1983-04-10,-140,AWAY_WIN,0,15574,0.5,0.5,78.0,78.0,90.0,90.0,0,6.0,,,,,,,0,,,,,0,,,,,week3_day1_v1
12723,Hawthorn Hawks,4,1983-04-16,1983,H,Western Bulldogs,2.4 3.11 7.19 12.25,97,4.5 8.8 9.15 17.16,118,L,-21,Princes Park,16504.0,12,25,17,16,Hawthorn Hawks,Western Bulldogs,97,118,1983-04-16,-21,AWAY_WIN,0,10498,1.0,1.0,120.5,120.5,43.5,43.5,2,7.0,0.0,0.0,75.0,75.0,106.0,106.0,0,21.0,,,,0,1.0,45.5,1.0,45.5,week3_day1_v1
13123,North Melbourne Kangaroos,4,1983-04-16,1983,H,Richmond Tigers,1.3 6.9 12.12 18.19,127,5.5 8.7 10.16 14.19,103,W,24,Aegis Park,14970.0,18,19,14,19,North Melbourne Kangaroos,Richmond Tigers,127,103,1983-04-16,24,HOME_WIN,1,10803,0.5,0.5,71.5,71.5,87.5,87.5,0,12.0,0.0,0.0,61.0,61.0,115.0,115.0,0,7.0,,,,0,0.5,10.5,0.5,10.5,week3_day1_v1
13517,Melbourne Demons,4,1983-04-16,1983,H,Carlton Blues,4.2 9.2 11.6 13.12,90,1.6 6.13 13.14 14.15,99,L,-9,Melbourne Cricket Ground,38544.0,13,12,14,15,Melbourne Demons,Carlton Blues,90,99,1983-04-16,-9,AWAY_WIN,0,11115,0.3333333333333333,0.3333333333333333,107.66666666666667,107.66666666666667,115.33333333333333,115.33333333333333,0,7.0,0.6666666666666666,0.6666666666666666,105.0,105.0,87.33333333333333,87.33333333333333,1,7.0,,,,0,-0.3333333333333333,2.6666666666666714,-0.3333333333333333,2.6666666666666714,week3_day1_v1
14350,St Kilda Saints,4,1983-04-16,1983,H,Geelong Cats,5.2 7.4 8.7 11.13,79,2.4 7.5 10.9 13.12,90,L,-11,Waverley Park,20826.0,11,13,13,12,St Kilda Saints,Geelong Cats,79,90,1983-04-16,-11,AWAY_WIN,0,11781,0.0,0.0,70.0,70.0,131.0,131.0,0,12.0,1.0,1.0,100.33333333333333,100.33333333333333,72.33333333333333,72.33333333333333,3,7.0,,,,0,-1.0,-30.33333333333333,-1.0,-30.33333333333333,week3_day1_v1
11908,	Fitzroy Lions,4,1983-04-16,1983,H,sydney swans,3.6 6.11 8.17 17.23,125,0.7 1.11 4.14 6.16,52,W,73,Junction Oval,10738.0,17,23,6,16,	Fitzroy Lions,sydney swans,125,52,1983-04-16,73,HOME_WIN,1,3078,,,,,,,0,,,,,,,,0,,,,,0,,,,,week3_day1_v1
11507,Essendon Bombers,4,1983-04-16,1983,H,Collingwood Magpies,2.6 9.13 19.17 20.21,141,5.3 6.7 9.10 17.15,117,W,24,"Windy Hill
",28250.0,20,21,17,15,Essendon Bombers,Collingwood Magpies,141,117,1983-04-16,24,HOME_WIN,1,9527,0.3333333333333333,0.3333333333333333,99.0,99.0,92.66666666666667,92.66666666666667,0,7.0,0.3333333333333333,0.3333333333333333,106.0,106.0,107.66666666666667,107.66666666666667,0,7.0,,,,0,0.0,-7.0,0.0,-7.0,week3_day1_v1
