_player_key,total_goals
45679,1360.0
43847,1066.0
45677,926.0
45833,800.0
44012,796.0
44785,787.0
45845,748.0
45563,746.0
43516,736.0
45408,727.0
44216,723.0
44786,718.0
45793,700.0
45161,680.0
43383,640.0
45695,633.0
45770,631.0
45513,623.0
45387,594.0
45682,594.0
